dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,1280.0,0.3365378868693295,0.5892857142857143,0.3623695525024859,3.1828312176200653,198.87953734264312,0.3141856830057553,0.5056998178352167,0.7921167966222785,0.9247473404255316,42.48589201799338,63.72396962121012
Country × Religion,"['country', 'religion']",Religious representativeness by country,1280.0,0.4817980945730149,0.5714285714285714,0.41552026794284036,3.8045124923514373,260.2173082596754,0.26284576591886405,0.24540453181139527,0.9381171701935908,0.970043956043956,51.35798702773883,58.90749257992161
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,1280.0,0.42439839549094516,0.4827586206896552,0.378567402039065,9.629492526221107,125.5517875638714,0.10384763239360746,0.26634365975451163,0.9503124693227294,0.9765208333333332,44.6588263535473,49.43659205321497
Country,['country'],Country-level representativeness,1280.0,0.5900543604611901,0.5588235294117647,0.47478226866003015,2.54332132533041,484.0127701284766,0.3931866532319062,0.16129754298474014,0.995,0.99,59.30194577499398,56.44682115270351
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,1280.0,0.5443301617956474,0.6961325966850829,0.5145208880982974,3.7395212029764613,330.25618333625306,0.2674139136325936,0.22151970088853365,0.98,0.99,55.54389406078035,70.31642390758412
Region × Religion,"['region', 'religion']",Regional religious representativeness,1280.0,0.5974462669934025,0.8703703703703703,0.5921316402238004,3.2974226861390314,349.667030813709,0.3032671559529133,0.04094728070810127,0.98,0.99,60.96390479524516,87.91619902731014
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,1280.0,0.5376434469910469,0.868421052631579,0.5443571382805683,6.410818945283707,199.66247852650193,0.15598631134882965,0.04986653397363467,0.98,0.99,54.861576223576215,87.71929824561404
Region,['region'],Regional representativeness,1280.0,0.7454879707735375,1.0,0.7275821935856828,2.1877606876539595,585.0731331005885,0.45708838523483475,0.0001371345085145366,0.98,0.99,76.07020109934057,101.01010101010101
Continent,['continent'],Continental representativeness,1280.0,0.831648785646731,1.0,0.9168186630646294,1.1185772551955893,1144.3107698235694,0.8939927889246636,0.0,0.995,1.0,83.58279252730965,100.0
Religion,['religion'],Global religious representativeness,1280.0,0.8165787815167513,1.0,0.7552999595997738,1.3691219859313704,929.0625766517793,0.7303951074306441,0.0,0.997265625,1.0,81.88177362643492,100.0
Environment,['environment'],Global urban/rural representativeness,1280.0,0.628638355798324,1.0,0.6022840564290987,2.9690536634346354,431.1137975590786,0.3368076543430301,0.0,0.999,1.0,62.92676234217457,100.0
Age Group,['age_group'],Global age representativeness,1280.0,0.6557640548242998,1.0,0.6190430959389313,4.376113816907893,292.2684494764182,0.22851325213167958,0.0,0.997265625,1.0,65.75620761262073,100.0
Gender,['gender'],Global gender representativeness,1280.0,0.9885515843321188,1.0,0.9880257927474972,1.0005245927556907,1279.3288733408995,0.9994756822975777,0.0,0.999,1.0,98.95411254575764,100.0
Overall (Average),,,,0.6291444727743337,0.8182477273463645,0.6070233014702078,,,,,,,,
