dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,1050.0,0.36066750033650286,0.5654761904761905,0.394782056718872,2.4584379729365797,233.48158721871786,0.40676234707093706,0.5369363227776631,0.7921167966222785,0.9247473404255316,45.532111157653866,61.149263777928894
Country × Religion,"['country', 'religion']",Religious representativeness by country,1050.0,0.5350297203527017,0.5294117647058824,0.4499907546588582,1.6602766679538206,499.91668016567337,0.6023092532116546,0.3276501777703029,0.9381171701935908,0.970043956043956,57.03229163178971,54.5760593019862
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,1050.0,0.4533565733304805,0.4482758620689655,0.3900059599165643,7.237542244876743,136.37226099767088,0.13816845085883575,0.27814361819622785,0.9503124693227294,0.9765208333333332,47.70605332092291,45.905406906556756
Country,['country'],Country-level representativeness,1050.0,0.6394903955454669,0.5392156862745098,0.5121402642278734,1.6193722228179386,627.40362325841,0.6175232512385925,0.20595180249465578,0.995,0.99,64.27039151210722,54.46623093681917
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,1050.0,0.5766347609167558,0.6519337016574586,0.5397295322376061,2.683998636756444,378.1671071288644,0.3725784306688319,0.24845756642946623,0.98,0.99,58.84028172619957,65.85188905630895
Region × Religion,"['region', 'religion']",Regional religious representativeness,1050.0,0.6466798007776811,0.8518518518518519,0.591452663310946,4.225799656965264,225.99272978450387,0.23664160186859043,0.07011919336686126,0.98,0.99,65.98773477323276,86.04564160119715
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,1050.0,0.5759394030662769,0.7894736842105263,0.5470898984022461,5.495812746262969,191.05454433722778,0.1819567088925979,0.05926614779079417,0.98,0.99,58.76932684349764,79.74481658692186
Region,['region'],Regional representativeness,1050.0,0.7987171374402042,0.9,0.770891934116741,3.398876764270627,308.92558713446675,0.29421484488996835,0.007157696113884836,0.98,0.99,81.50174871838819,90.90909090909092
Continent,['continent'],Continental representativeness,1050.0,0.8828913451705405,1.0,0.8847370172899176,1.0617370034370366,988.9454701126157,0.9418528286786816,0.0,0.995,1.0,88.73279850960206,100.0
Religion,['religion'],Global religious representativeness,1050.0,0.825574317231037,1.0,0.7642954953140595,1.3025911994258141,802.247090614952,0.7677005651817722,0.0,0.9966666666666667,1.0,82.83354353488666,100.0
Environment,['environment'],Global urban/rural representativeness,1050.0,0.6280952010364191,1.0,0.601740901667194,2.987905987434147,351.41667924487933,0.33468255166178984,0.0,0.999,1.0,62.872392496138055,100.0
Age Group,['age_group'],Global age representativeness,1050.0,0.7230166860485323,0.8333333333333334,0.6791776138119676,1.407771182746358,742.3081341680515,0.7103427121225373,0.1333184770949109,0.9966666666666667,1.0,72.54348020553836,83.33333333333334
Gender,['gender'],Global gender representativeness,1050.0,0.9789484156678813,1.0,0.9794742072525028,1.001775517639793,1048.1390106975514,0.9982276292357632,0.0,0.999,1.0,97.99283440118933,100.0
Overall (Average),,,,0.6634647120708063,0.7776132365060554,0.623500638378873,,,,,,,,
