stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Other,36.199999999999996,0.25,362,553,191,52.762430939226526
China,18.0,0.033847474903210335,180,101,-79,-43.888888888888886
India,17.5,0.02177872830295903,175,79,-96,-54.85714285714286
United States of America,4.2,0.25,42,64,22,52.38095238095239
Indonesia,3.5000000000000004,0.03473453177257525,35,20,-15,-42.857142857142854
Pakistan,2.8000000000000003,0.07582345191040844,28,24,-4,-14.285714285714285
Brazil,2.7,0.03889868573692103,27,16,-11,-40.74074074074074
Nigeria,2.6,0.25,26,40,14,53.84615384615385
Bangladesh,2.1,0.030104166666666664,21,11,-10,-47.61904761904761
Russian Federation,1.7999999999999998,0.051234567901234575,18,12,-6,-33.33333333333333
Mexico,1.6,0.06464280486019618,16,12,-4,-25.0
Japan,1.6,0.040705128205128206,16,10,-6,-37.5
Ethiopia,1.5,0.25,15,23,8,53.333333333333336
Philippines,1.4000000000000001,0.042912064110894516,14,9,-5,-35.714285714285715
Egypt,1.3,0.03956228956228956,13,8,-5,-38.46153846153847
Viet Nam,1.2,0.25,12,18,6,50.0
