stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Other,36.199999999999996,0.25,3620,5011,1391,38.425414364640886
China,18.0,0.054139969402571035,1800,1160,-640,-35.55555555555556
India,17.5,0.05919342662314802,1750,1179,-571,-32.628571428571426
United States of America,4.2,0.25,420,581,161,38.333333333333336
Indonesia,3.5000000000000004,0.06820716596758264,350,253,-97,-27.714285714285715
Pakistan,2.8000000000000003,0.05938500549522453,280,189,-91,-32.5
Brazil,2.7,0.06530956857106283,270,191,-79,-29.259259259259256
Nigeria,2.6,0.25,260,360,100,38.46153846153847
Bangladesh,2.1,0.06676581038560206,210,150,-60,-28.57142857142857
Russian Federation,1.7999999999999998,0.06321022727272728,180,125,-55,-30.555555555555557
Mexico,1.6,0.06075918592490562,160,109,-51,-31.874999999999996
Japan,1.6,0.06908763769310021,160,116,-44,-27.500000000000004
Ethiopia,1.5,0.25,150,208,58,38.666666666666664
Philippines,1.4000000000000001,0.06875444112608715,140,102,-38,-27.142857142857142
Egypt,1.3,0.07687831598816447,130,100,-30,-23.076923076923077
Viet Nam,1.2,0.25,120,166,46,38.333333333333336
