stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Other,36.199999999999996,0.25,1810,2730,920,50.82872928176796
China,18.0,0.03190745659016731,900,485,-415,-46.111111111111114
India,17.5,0.036869788661369224,875,507,-368,-42.05714285714286
United States of America,4.2,0.25,210,317,107,50.95238095238095
Indonesia,3.5000000000000004,0.040426960706996834,175,106,-69,-39.42857142857143
Pakistan,2.8000000000000003,0.03561174422285534,140,80,-60,-42.857142857142854
Brazil,2.7,0.0434125609995077,135,85,-50,-37.03703703703704
Nigeria,2.6,0.14705882352941177,130,150,20,15.384615384615385
Bangladesh,2.1,0.049417009602194785,105,70,-35,-33.33333333333333
Russian Federation,1.7999999999999998,0.0772119341563786,90,75,-15,-16.666666666666664
Mexico,1.6,0.041257370887000516,80,49,-31,-38.75
Japan,1.6,0.04254567449011894,80,50,-30,-37.5
Ethiopia,1.5,0.25,75,113,38,50.66666666666667
Philippines,1.4000000000000001,0.03908351593536778,70,42,-28,-40.0
Egypt,1.3,0.0664421997755331,65,51,-14,-21.53846153846154
Viet Nam,1.2,0.25,60,90,30,50.0
