stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Other,36.199999999999996,0.25,362,547,185,51.10497237569061
China,18.0,0.03190745659016731,180,97,-83,-46.111111111111114
India,17.5,0.036869788661369224,175,101,-74,-42.285714285714285
United States of America,4.2,0.25,42,63,21,50.0
Indonesia,3.5000000000000004,0.040426960706996834,35,21,-14,-40.0
Pakistan,2.8000000000000003,0.03561174422285534,28,16,-12,-42.857142857142854
Brazil,2.7,0.0434125609995077,27,17,-10,-37.03703703703704
Nigeria,2.6,0.14705882352941177,26,30,4,15.384615384615385
Bangladesh,2.1,0.049417009602194785,21,14,-7,-33.33333333333333
Russian Federation,1.7999999999999998,0.0772119341563786,18,15,-3,-16.666666666666664
Mexico,1.6,0.041257370887000516,16,10,-6,-37.5
Japan,1.6,0.04254567449011894,16,10,-6,-37.5
Ethiopia,1.5,0.25,15,23,8,53.333333333333336
Philippines,1.4000000000000001,0.03908351593536778,14,8,-6,-42.857142857142854
Egypt,1.3,0.0664421997755331,13,10,-3,-23.076923076923077
Viet Nam,1.2,0.25,12,18,6,50.0
