stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Other,36.199999999999996,0.25,3620,5460,1840,50.82872928176796
China,18.0,0.03190745659016731,1800,970,-830,-46.111111111111114
India,17.5,0.036869788661369224,1750,1014,-736,-42.05714285714286
United States of America,4.2,0.25,420,633,213,50.71428571428571
Indonesia,3.5000000000000004,0.040426960706996834,350,212,-138,-39.42857142857143
Pakistan,2.8000000000000003,0.03561174422285534,280,159,-121,-43.214285714285715
Brazil,2.7,0.0434125609995077,270,170,-100,-37.03703703703704
Nigeria,2.6,0.14705882352941177,260,301,41,15.769230769230768
Bangladesh,2.1,0.049417009602194785,210,141,-69,-32.857142857142854
Russian Federation,1.7999999999999998,0.0772119341563786,180,151,-29,-16.11111111111111
Mexico,1.6,0.041257370887000516,160,98,-62,-38.75
Japan,1.6,0.04254567449011894,160,100,-60,-37.5
Ethiopia,1.5,0.25,150,226,76,50.66666666666667
Philippines,1.4000000000000001,0.03908351593536778,140,83,-57,-40.714285714285715
Egypt,1.3,0.0664421997755331,130,101,-29,-22.30769230769231
Viet Nam,1.2,0.25,120,181,61,50.83333333333333
