stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Other,36.199999999999996,0.25,905,1253,348,38.453038674033145
China,18.0,0.054139969402571035,450,290,-160,-35.55555555555556
India,17.5,0.05919342662314802,437,295,-142,-32.494279176201374
United States of America,4.2,0.25,105,145,40,38.095238095238095
Indonesia,3.5000000000000004,0.06820716596758264,87,63,-24,-27.586206896551722
Pakistan,2.8000000000000003,0.05938500549522453,70,47,-23,-32.857142857142854
Brazil,2.7,0.06530956857106283,67,48,-19,-28.35820895522388
Nigeria,2.6,0.25,65,90,25,38.46153846153847
Bangladesh,2.1,0.06676581038560206,52,38,-14,-26.923076923076923
Russian Federation,1.7999999999999998,0.06321022727272728,45,31,-14,-31.11111111111111
Mexico,1.6,0.06075918592490562,40,27,-13,-32.5
Japan,1.6,0.06908763769310021,40,29,-11,-27.500000000000004
Ethiopia,1.5,0.25,37,52,15,40.54054054054054
Philippines,1.4000000000000001,0.06875444112608715,35,25,-10,-28.57142857142857
Egypt,1.3,0.07687831598816447,32,25,-7,-21.875
Viet Nam,1.2,0.25,30,42,12,40.0
