stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Other,36.199999999999996,0.25,1810,2763,953,52.65193370165746
China,18.0,0.033847474903210335,900,506,-394,-43.77777777777778
India,17.5,0.02177872830295903,875,394,-481,-54.97142857142857
United States of America,4.2,0.25,210,321,111,52.85714285714286
Indonesia,3.5000000000000004,0.03473453177257525,175,100,-75,-42.857142857142854
Pakistan,2.8000000000000003,0.07582345191040844,140,118,-22,-15.714285714285714
Brazil,2.7,0.03889868573692103,135,81,-54,-40.0
Nigeria,2.6,0.25,130,198,68,52.307692307692314
Bangladesh,2.1,0.030104166666666664,105,56,-49,-46.666666666666664
Russian Federation,1.7999999999999998,0.051234567901234575,90,62,-28,-31.11111111111111
Mexico,1.6,0.06464280486019618,80,62,-18,-22.5
Japan,1.6,0.040705128205128206,80,49,-31,-38.75
Ethiopia,1.5,0.25,75,115,40,53.333333333333336
Philippines,1.4000000000000001,0.042912064110894516,70,44,-26,-37.142857142857146
Egypt,1.3,0.03956228956228956,65,39,-26,-40.0
Viet Nam,1.2,0.25,60,92,32,53.333333333333336
