participant_id,age,gender,environment,religion,country,age_group
98bb6785-a436-4b26-8515-8c6df0fdedb6,36-45,Female,Urban,I do not identify with any religious group or faith,United Kingdom,36-45
45cf1082-2cc4-46bd-aa9b-400ed2e7a2cf,36-45,Female,Urban,Christianity,Canada,36-45
8f4e0e4c-fefa-4000-93c9-f2affaac405c,26-35,Female,Urban,I do not identify with any religious group or faith,United States,26-35
3648e42a-d41d-48a6-9137-fa5c0d3b0dd6,26-35,Female,Urban,I do not identify with any religious group or faith,Canada,26-35
4b449fab-51ef-45fc-a3c2-400db8fb03aa,46-55,Female,Urban,Christianity,United States,46-55
09d60849-6b0e-411d-b4fe-cd05261e288f,18-25,Female,Urban,Christianity,Canada,18-25
b59ab6db-3e29-4089-8f12-a10e363fb050,18-25,Female,Urban,I do not identify with any religious group or faith,United States,18-25
d0fd5f06-321f-42b5-84ed-be84655bd251,26-35,Male,Urban,I do not identify with any religious group or faith,United States,26-35
6175a2e5-cbcf-4b49-8906-c45e1d15fcac,36-45,Female,Urban,Christianity,Romania,36-45
ec017bcb-ff30-4107-a96a-5bbc9f0ad2ef,26-35,Male,Urban,Christianity,United States,26-35
d4b106ea-e520-4b29-9cda-6afe0590a417,26-35,Male,Urban,Christianity,United States,26-35
bdc84f3a-4519-4594-96c8-52de1436fcb6,26-35,Male,Urban,Christianity,Germany,26-35
722ffc3d-74f1-40eb-9294-576650bbc431,26-35,Male,Urban,Other religious group,South Africa,26-35
634aeec3-e847-4051-8069-03cb1d4e105c,46-55,Male,Rural,I do not identify with any religious group or faith,United Kingdom,46-55
c3ee4a53-e722-40d0-bdda-f47b283a1f52,26-35,Male,Rural,Christianity,Poland,26-35
b9a3319f-2c79-469f-af75-f061bd29b32e,26-35,Male,Rural,Christianity,United States,26-35
b7f89664-2f7f-4bfd-af40-d250f06a328e,36-45,Male,Urban,Christianity,United Kingdom,36-45
6a8ba57d-a791-4871-9d6a-c90b704c9a75,26-35,Male,Urban,Christianity,United Kingdom,26-35
7255221b-90f8-42b7-b6af-10b37b6582da,26-35,Female,Urban,Christianity,United Kingdom,26-35
0eb4888f-5520-4aae-b6e4-30ed04931540,18-25,Male,Urban,Christianity,South Africa,18-25
12ce0025-556c-4134-817d-1f0e59c8e981,46-55,Male,Rural,Christianity,United States,46-55
3022868c-0d74-4db9-a34d-04aec263f33a,26-35,Female,Urban,Christianity,United States,26-35
167bd59e-1863-4c3f-a40b-46abff3088e2,26-35,Male,Urban,Christianity,United States,26-35
92f0f15d-6aca-4c97-86b3-904cca3ab49f,46-55,Male,Urban,Christianity,United States,46-55
20df6fe5-9d77-47e9-bc3c-7447c1fa120b,36-45,Male,Rural,Christianity,United Kingdom,36-45
e8ceed69-4247-4f44-b67d-c8fd18f00c75,46-55,Male,Urban,I do not identify with any religious group or faith,United Kingdom,46-55
e05bf71c-3d8c-4bdd-ac09-12fe0261e83e,26-35,Female,Urban,Christianity,South Africa,26-35
d8561cc7-e53f-4c4d-bb98-cb4fa1e65149,46-55,Male,Urban,Christianity,United States,46-55
6a951875-a4a1-4ef1-9ae7-2616f827eb87,26-35,Female,Urban,I do not identify with any religious group or faith,Canada,26-35
dd78f3c4-ed6c-40e0-a809-0ba6e22e2fae,36-45,Female,Urban,I do not identify with any religious group or faith,United States,36-45
bccb3730-a606-40e5-8e6e-aeecd00b7ee2,26-35,Male,Rural,Christianity,Mexico,26-35
197eafb3-2a90-4952-87ad-b43751f4354d,18-25,Male,Urban,Islam,Egypt,18-25
40e6f66b-c4d2-4375-93f1-e205a4223d38,26-35,Male,Urban,Christianity,Zimbabwe,26-35
a57dd926-d458-4eb1-bf63-8b645aa98c5d,56-65,Female,Urban,Christianity,United States,56-65
0e2be727-f313-4ae1-8aa6-78df2af76207,26-35,Female,Urban,I do not identify with any religious group or faith,Mexico,26-35
9c57e9ad-9385-4a7b-abd1-f5ad81d56862,18-25,Female,Urban,Christianity,South Africa,18-25
6a948fcd-ff1f-40c5-b0a3-34550647bfd8,26-35,Male,Urban,Christianity,Mexico,26-35
8693fa4a-c229-4def-aead-32c3cc8bac9f,26-35,Female,Urban,Christianity,South Africa,26-35
6349cd2f-3af6-496a-a123-df69c602e07d,26-35,Male,Urban,I do not identify with any religious group or faith,Chile,26-35
106bfd0a-17d7-42fa-bb45-90e91c8ac2c1,26-35,Female,Urban,I do not identify with any religious group or faith,South Africa,26-35
552b9831-1699-46f9-9950-d6ea7e3d2ae2,26-35,Male,Urban,Christianity,Mexico,26-35
5ab9037a-5509-4dce-b337-78c1f91b3470,26-35,Male,Urban,Christianity,United States,26-35
73f27bdf-2c27-4aae-9473-02903525b029,26-35,Male,Urban,I do not identify with any religious group or faith,Denmark,26-35
05931df5-fe9a-4620-aae6-8f20dffae2e4,26-35,Female,Urban,Islam,Algeria,26-35
62d92ce2-fbc3-4b56-ad92-8bbc0f2a5988,26-35,Male,Urban,Islam,Morocco,26-35
093e6e1a-0e89-4311-a412-feadae266e17,26-35,Female,Urban,Other religious group,Mexico,26-35
c8014919-91ac-4800-8cef-33aad7a83180,56-65,Female,Rural,Christianity,United States,56-65
7b6dd76f-ed90-4806-a221-bc73e08a4ef6,26-35,Male,Urban,Islam,Pakistan,26-35
0bc9fd87-bcf5-4ec1-bfd1-a542dd9d5a81,26-35,Male,Urban,Islam,Morocco,26-35
b29ac726-1027-4096-89df-eb6587f434c7,26-35,Male,Urban,Christianity,Kenya,26-35
2ceb7df4-dc1e-4684-b0d5-ed30c8de1b2f,26-35,Male,Urban,Christianity,Kenya,26-35
a246418a-9bb9-420a-be47-6e2ff6a512af,26-35,Male,Urban,I do not identify with any religious group or faith,Mexico,26-35
089b891d-93da-468d-a7e3-dfcdc24084a4,36-45,Male,Urban,I do not identify with any religious group or faith,Kenya,36-45
523726d1-1ed7-4eb8-97aa-c03b96674a58,26-35,Female,Urban,I do not identify with any religious group or faith,Chile,26-35
109719d5-a02f-429b-921e-afcfad114673,26-35,Female,Urban,Christianity,Mexico,26-35
3aa03f86-a46f-4487-8005-683ff8c36b75,36-45,Female,Urban,I do not identify with any religious group or faith,Poland,36-45
ea63fcbf-c137-4757-b9cb-96e24894dfb2,26-35,Male,Urban,I do not identify with any religious group or faith,Chile,26-35
79e1a321-349d-4b03-bbd3-66aed83a53ea,26-35,Male,Urban,Christianity,Kenya,26-35
b29d92d4-b605-4832-9a75-0fc3825534b8,36-45,Female,Urban,Islam,India,36-45
ed81c27a-b657-4764-ad6d-e54f290300c6,26-35,Female,Urban,I do not identify with any religious group or faith,Chile,26-35
27c75eea-b8a3-4976-be8e-ca0b7b1c742b,26-35,Female,Urban,Christianity,Chile,26-35
231f8b35-ef3b-4c3b-b623-bc669654cea3,26-35,Female,Rural,I do not identify with any religious group or faith,Chile,26-35
27779918-926e-4438-acdd-be64ca03bb95,26-35,Male,Urban,Christianity,Kenya,26-35
8900e3e3-4c28-4635-8247-c13057e666be,18-25,Female,Urban,I do not identify with any religious group or faith,Mexico,18-25
c423b992-a2a2-4166-8e52-49408ae9c45c,26-35,Female,Urban,Islam,India,26-35
5e3c2c86-66cc-4517-90ae-5502ab7228e4,26-35,Female,Urban,Christianity,Kenya,26-35
a6af4c95-0561-4672-a2cb-aceddad74022,18-25,Female,Rural,Hinduism,India,18-25
a46c16de-86d1-45a4-bdb2-540b9d6d8b12,36-45,Female,Urban,Christianity,Russian Federation,36-45
be04e87e-25d8-4ae3-acfa-ab931bc7c3c3,26-35,Female,Urban,Christianity,Chile,26-35
500f5932-1f6f-44a1-99a7-e75faecf692e,26-35,Male,Urban,Christianity,Kenya,26-35
69840afc-b38f-4165-9415-87ccf0f9d499,18-25,Male,Urban,Christianity,Greece,18-25
a7979952-31c7-47f1-98cf-a0e31ff1017d,26-35,Female,Urban,I do not identify with any religious group or faith,Chile,26-35
c6d66d34-9007-4d90-89fd-1c72fda3b388,36-45,Male,Urban,Islam,Kenya,36-45
d48cfbcd-fa8e-4e0e-9e68-9f36df0da6d1,26-35,Female,Urban,I do not identify with any religious group or faith,Indonesia,26-35
590fd9c3-16c2-4312-9f22-bbc96e593d88,18-25,Female,Urban,Hinduism,India,18-25
0301aa10-88b7-41e2-b383-a89e6783e2fc,46-55,Male,Urban,Judaism,United States,46-55
e6706336-d478-46c1-93dd-3d2b8d0aaee4,26-35,Male,Rural,Christianity,Kenya,26-35
479d83c1-faff-4e8f-a358-adb2d28f7716,26-35,Male,Urban,I do not identify with any religious group or faith,Kenya,26-35
b5a4ea3f-d00e-469d-977b-3619dce33441,18-25,Female,Urban,Christianity,United States,18-25
6341432f-e6e0-447b-8654-6d5745ad518f,26-35,Male,Urban,Christianity,Kenya,26-35
641b9365-b95c-423c-ad35-11520ce0c3a5,18-25,Female,Urban,Christianity,Kenya,18-25
0488e8ae-33b8-4464-ab5e-1f2e953b6076,18-25,Male,Urban,Islam,Morocco,18-25
17c5b3bb-53f3-4722-ab14-f1d60a55b896,26-35,Male,Urban,Christianity,Kenya,26-35
